Date,Strategy_Return,mktrf,SMB,VMG,PMO,const,CH4_Residuals
2005-07-01,-0.0860295,0.001,-0.077,0.081,-0.0356,1.0,0.005332156443102823
2005-08-01,0.24728672,0.0836,0.0809,-0.0438,0.0174,1.0,0.06519518763672513
2005-09-01,0.048925,-0.0049,0.0305,0.0292,0.0136,1.0,0.02083399977551436
2005-10-01,-0.10081162,-0.0575,-0.0021,0.0181,0.0378,1.0,-0.05339087404299612
2005-11-01,0.01006557,0.0023,0.0148,-0.0062,0.0263,1.0,-0.02148910192860842
2005-12-01,0.01658719,0.0607,-0.0469,0.0437,0.0065,1.0,-0.0036827100415851854
2006-01-01,0.15747051,0.0862,-0.0077,-0.0042,0.021,1.0,0.06065737823823525
2006-02-01,0.0501269699999999,0.0361,-0.0167,-0.0262,0.0265,1.0,0.008722616807141405
2006-03-01,-0.03155205,0.0065,-0.0102,0.0172,-0.0285,1.0,-0.021581719222603976
2006-04-01,-0.05963699,0.1128,-0.0107,0.0469,-0.0319,1.0,-0.154782632612838
2006-05-01,0.31071782,0.1603,0.097,-0.0813,0.0751,1.0,0.006770552241381289
2006-06-01,0.0473767799999999,0.0259,0.0476,0.0375,-0.0108,1.0,-0.019288922840233542
2006-07-01,-0.01629989,-0.0688,0.0423,-0.0124,0.0169,1.0,0.0035512151423753406
2006-08-01,0.00571171,0.0394,-0.0072,-0.0016,0.0004,1.0,-0.03484038012387848
2006-09-01,0.25377076,0.0464,-0.0063,-0.0098,0.0344,1.0,0.19202239622453138
2006-10-01,0.01707647,0.0265,-0.0359,0.0828,0.0171,1.0,0.02578045625693157
2006-11-01,0.05915767,0.1463,-0.1264,0.0399,-0.0111,1.0,0.0279949389906927
2006-12-01,0.02602701,0.1393,-0.0955,0.0617,-0.0184,1.0,-0.02021295372894211
2007-01-01,0.24016111,0.1368,0.123,0.0146,0.0774,1.0,-0.04731581908720878
2007-02-01,0.24321977,0.0651,0.1181,-0.059,-0.0869,1.0,0.0788586220464075
2007-03-01,0.2018197,0.1109,0.0639,-0.0115,-0.0222,1.0,0.025877741850573704
2007-04-01,0.25150972,0.2458,0.0699,-0.093,-0.1246,1.0,-0.05136595613213013
2007-05-01,0.10287212,0.0941,-0.0091,0.0008,0.032,1.0,-0.003827919778193828
2007-06-01,-0.09271731,-0.0922,-0.0653,0.1335,0.1185,1.0,0.042599257031860654
2007-07-01,0.20680206,0.1761,0.0626,-0.0315,0.0093,1.0,-0.05076114721711167
2007-08-01,0.1078179,0.1516,-0.0449,0.0192,0.0111,1.0,-0.015828339849052644
2007-09-01,0.01456269,0.0617,-0.0235,0.0351,0.0107,1.0,-0.031434190536767256
2007-10-01,-0.11015965,0.0483,-0.1272,0.1328,0.1176,1.0,-0.065029567793209
2007-11-01,-0.01963584,-0.1526,0.1047,0.0342,0.0056,1.0,0.04238163692636893
2007-12-01,0.20973942,0.1186,0.0879,-0.0092,0.0268,1.0,-0.01288238239152048
2008-01-01,-0.08349242,-0.157,0.0914,-0.0159,0.0086,1.0,-0.014215513726848775
2008-02-01,0.05558879,0.0229,0.0841,0.008,0.0041,1.0,-0.052043939478729706
2008-03-01,-0.17906099,-0.1992,0.0017,-0.0004,0.0155,1.0,0.01836385469072785
2008-04-01,0.03507872,0.046,-0.1048,0.0763,-0.0445,1.0,0.1071176884865748
2008-05-01,-0.04421913,-0.0693,0.0313,-0.0564,0.0411,1.0,-0.0295017635204265
2008-06-01,-0.24276444,-0.2076,-0.0527,0.0409,0.0227,1.0,0.018801566548600962
2008-07-01,0.10844107,0.0165,0.0806,-0.0166,0.0007,1.0,0.0076764895579889
2008-08-01,-0.23844093,-0.1516,-0.08,0.0416,0.0663,1.0,-0.025159846376143213
2008-09-01,-0.07045213,-0.0469,-0.0508,-0.0416,0.0185,1.0,0.007256198469679398
2008-10-01,-0.28100237,-0.2547,-0.006,0.0442,0.0152,1.0,-0.010135525593389705
2008-11-01,0.26121871,0.0937,0.108,-0.0391,0.0631,1.0,0.02857932017286663
2008-12-01,0.13400173,-0.0215,0.0909,0.0337,0.0243,1.0,0.06438833682751828
2009-01-01,0.2292257,0.0965,0.0623,0.0079,-0.0687,1.0,0.0891204431409976
2009-02-01,0.13712433,0.0491,0.0324,-0.0433,0.032,1.0,0.031552176229911646
2009-03-01,0.20173983,0.1463,0.0726,-0.0092,-0.0388,1.0,-0.013508300694629188
2009-04-01,0.0425939699999999,0.0417,0.033,0.0393,0.0104,1.0,-0.034031838988331536
2009-05-01,0.02713849,0.0609,0.0108,-0.0262,0.0315,1.0,-0.06763446899148495
2009-06-01,0.0843000399999999,0.1265,-0.0813,0.0259,0.014,1.0,0.021088931118365767
2009-07-01,0.10085682,0.1555,-0.041,-0.0808,0.0441,1.0,-0.05913794182896241
2009-08-01,-0.10474094,-0.2182,0.0861,0.0521,-0.0159,1.0,0.0540489618916854
2009-09-01,0.03129749,0.0457,-0.0069,0.0566,0.0309,1.0,-0.016416465972189737
2009-10-01,0.10846208,0.0829,0.0441,0.0042,0.0086,1.0,-0.02734554240179403
2009-11-01,0.16160947,0.0731,0.094,-0.006,0.022,1.0,-0.016594636419854397
2009-12-01,0.02855376,0.0225,0.0269,0.0393,0.0388,1.0,-0.031849935858395406
2010-01-01,-0.05041556,-0.0895,0.0682,-0.0124,0.0166,1.0,-0.03274488749478424
2010-02-01,0.03665138,0.023,0.0382,-0.025,-0.0007,1.0,-0.03253068246522581
2010-03-01,0.01907151,0.0149,0.0228,0.0116,0.0021,1.0,-0.021855896101350705
2010-04-01,-0.08678673,-0.0791,0.0173,0.0009,0.058,1.0,-0.044521760118341885
2010-05-01,-0.10576229,-0.087,-0.0033,0.0,-0.0166,1.0,-0.010816275936126205
2010-06-01,-0.07177672,-0.074,-0.0173,0.0299,0.0173,1.0,0.016167013467574293
2010-07-01,0.21186944,0.1127,0.0496,0.0117,-0.0083,1.0,0.04663166873755162
2010-08-01,0.0685455099999999,0.0178,0.0697,-0.039,-0.0173,1.0,-0.021230036154271367
2010-09-01,-0.00247556,0.0064,-0.0117,-0.0193,-0.0154,1.0,-0.0018101367599649386
2010-10-01,0.13051657,0.1239,-0.0473,0.0157,-0.0534,1.0,0.059590900733667476
2010-11-01,0.02878349,-0.0472,0.0352,0.004,0.1041,1.0,0.005688403824725772
2010-12-01,-0.03486415,-0.0114,-0.0168,0.0399,-0.0062,1.0,-0.003552331696307906
2011-01-01,-0.02699554,-0.0275,-0.0185,0.0426,-0.0102,1.0,0.024675183051712776
2011-02-01,0.09351852,0.0484,0.0525,-0.0336,0.0026,1.0,-0.018312245875364966
2011-03-01,-0.00294314,-0.0059,-0.0031,0.0163,0.0125,1.0,-0.0006204862099422133
2011-04-01,-0.01721288,-0.0151,-0.0248,0.021,-0.0041,1.0,0.021428145682142255
2011-05-01,-0.08032002,-0.0644,-0.0096,0.0106,0.0029,1.0,-0.008098372534091722
2011-06-01,0.03882987,0.0227,0.0123,0.0036,0.0059,1.0,-0.0032331104210130135
2011-07-01,0.05466236,-0.0162,0.0254,-0.0068,0.029,1.0,0.031707600619529416
2011-08-01,-0.01753247,-0.0488,0.0178,0.0075,0.0097,1.0,0.009947011302599784
2011-09-01,-0.09750653,-0.0922,-0.026,0.0368,0.0477,1.0,0.008543153224001426
2011-10-01,0.0550664,0.0403,0.0,0.0104,-0.0233,1.0,0.01702297145166047
2011-11-01,-0.0507941,-0.0547,0.0189,0.014,0.0144,1.0,-0.01859409600161349
2011-12-01,-0.12579706,-0.0733,-0.0856,0.0768,0.0335,1.0,0.027540818853823062
2012-01-01,0.06289689,0.0248,-0.0426,0.0201,0.0217,1.0,0.0671476047675913
2012-02-01,0.19728788,0.0697,0.0579,-0.0309,0.0092,1.0,0.056239947958929004
2012-03-01,-0.09131972,-0.0703,-0.0059,0.0123,0.0283,1.0,-0.024669831267287307
2012-04-01,0.04400774,0.0546,0.0158,-0.0168,0.0284,1.0,-0.046091143868262026
2012-05-01,0.05832086,0.0006,0.01,-0.0069,-0.0163,1.0,0.0473851817150557
2012-06-01,-0.03195777,-0.0521,-0.0108,0.0475,0.0097,1.0,0.03253626732846659
2012-07-01,-0.11259401,-0.0576,-0.0351,0.0492,-0.0094,1.0,-0.012931453865448903
2012-08-01,0.04351139,-0.0285,0.0632,-0.0084,0.0234,1.0,-2.991298603219339e-06
2012-09-01,0.02718901,0.0206,-0.0236,0.0015,-0.0035,1.0,0.02353707917457201
2012-10-01,0.02380511,-0.0122,0.0125,0.0059,0.0244,1.0,0.012403417812993072
2012-11-01,-0.10704673,-0.0635,-0.0489,0.0366,-0.0158,1.0,0.011638908736645581
2012-12-01,0.23405116,0.1502,0.01,-0.009,0.006,1.0,0.0576798607808211
2013-01-01,0.0568891199999999,0.0493,0.0165,0.0073,0.03,1.0,-0.02463338881734748
2013-02-01,0.05790493,0.0,0.0319,0.0006,0.0275,1.0,0.013651966203986614
2013-03-01,-0.04023769,-0.0549,0.0148,0.0038,0.0402,1.0,-0.014565829413279455
2013-04-01,-0.04282307,-0.025,-0.0067,0.0133,0.005,1.0,-0.015018340289863229
2013-05-01,0.12058147,0.0779,0.061,-0.0383,-0.013,1.0,-0.02571626862342924
2013-06-01,-0.19154424,-0.1346,-0.0227,0.0355,-0.0031,1.0,-0.026874345524399074
2013-07-01,0.03533222,0.0265,0.0353,-0.0296,-0.0365,1.0,-0.023462204987886745
2013-08-01,0.11473531,0.0499,0.0378,0.0097,0.028,1.0,0.013880932656239311
2013-09-01,0.02272498,0.0425,-0.0042,-0.0289,-0.0341,1.0,-0.0168928509926451
2013-10-01,-0.02437491,-0.0265,0.0089,0.0547,0.0249,1.0,-0.009058699741516501
2013-11-01,0.05567695,0.0418,0.0428,-0.0279,-0.0045,1.0,-0.036783586227612824
2013-12-01,-0.04637948,-0.0458,0.0131,0.034,0.0112,1.0,-0.01359045669375853
2014-01-01,-0.02360667,-0.023,0.0422,-0.0483,-0.0132,1.0,-0.04788306029202086
2014-02-01,0.03042006,0.0053,0.043,-0.0115,0.0289,1.0,-0.03231032224113477
2014-03-01,0.02691355,-0.0269,0.0086,0.0492,0.0631,1.0,0.028979990201943886
2014-04-01,-0.01337469,-0.0109,-0.0164,0.0191,0.0029,1.0,0.0103259062343631
2014-05-01,0.0309856,0.0106,0.017,-0.0327,0.0215,1.0,-0.014328096552691297
2014-06-01,0.05802512,0.0216,0.0289,-0.0219,0.0086,1.0,-0.0036629989566853496
2014-07-01,0.09323689,0.0771,0.0027,0.0188,0.0215,1.0,0.00016727721703228837
2014-08-01,0.08016764,0.0119,0.0305,-0.0298,0.0313,1.0,0.018108541035471618
2014-09-01,0.11105716,0.0696,0.0573,-0.0332,-0.0245,1.0,-0.018265410471673252
2014-10-01,-0.00741027,0.0154,0.0003,0.0264,-0.0089,1.0,-0.021634990835339634
2014-11-01,0.02944735,0.0883,-0.0289,0.0476,-0.037,1.0,-0.021133908236622808
2014-12-01,-0.06433101,0.1525,-0.172,0.1517,-0.2019,1.0,0.02470709083444521
2015-01-01,0.13593227,0.0045,0.0515,-0.0247,0.1134,1.0,0.035106336724609444
2015-02-01,0.0864813,0.0431,0.0176,-0.0306,0.0307,1.0,0.0036328912489474174
2015-03-01,0.19889837,0.1492,0.0878,-0.0446,0.0106,1.0,-0.05649060611441736
2015-04-01,0.17326181,0.1601,-0.0028,-0.0091,0.0148,1.0,-0.004644512704870374
2015-05-01,0.29523162,0.0699,0.1841,-0.1028,0.1275,1.0,-0.01607105212510168
2015-06-01,-0.04078533,-0.0812,-0.0372,0.0876,0.0075,1.0,0.086604005204136
2015-07-01,-0.18713938,-0.1461,-0.0488,0.0671,0.0402,1.0,0.004664801118895917
2015-08-01,-0.0912132599999999,-0.1381,0.0015,0.0198,0.008,1.0,0.048141404924661194
2015-09-01,-0.0170484,-0.0431,0.0354,0.0225,0.0025,1.0,-0.006870244078345217
2015-10-01,0.26356434,0.1439,0.0735,-0.0595,-0.0857,1.0,0.057209392114118046
2015-11-01,0.04310529,0.0324,0.079,-0.0004,-0.035,1.0,-0.05794972366358977
2015-12-01,0.06732407,0.0317,0.0382,0.0421,0.0371,1.0,-0.012202451153108751
2016-01-01,-0.24795743,-0.2509,-0.0481,0.0599,0.0792,1.0,0.03900262033516952
2016-02-01,-0.00482929,-0.022,-0.0004,0.0083,0.0171,1.0,0.008976296923288024
2016-03-01,0.19608963,0.1452,0.0565,-0.0003,-0.0705,1.0,0.00929435272998902
2016-04-01,0.0085606599999999,-0.0271,0.0181,0.0102,0.033,1.0,0.00546203866807532
2016-05-01,-0.0008787899999999,-0.0011,-0.0102,0.0158,-0.0041,1.0,0.008549400271584424
2016-06-01,0.06506377,0.0221,0.0432,-0.0083,-0.0437,1.0,0.009712157194699221
2016-07-01,0.0063877699999999,0.0115,-0.0159,0.0596,0.0861,1.0,-0.015211662011848263
2016-08-01,0.04391659,0.0371,0.0089,-0.0087,0.0212,1.0,-0.017488613820589853
2016-09-01,0.00388389,-0.0254,0.0106,0.0208,0.0011,1.0,0.018660712146362484
2016-10-01,0.03321504,0.0248,0.0153,-0.0076,0.0021,1.0,-0.014502657856370532
2016-11-01,0.0334239,0.0364,-0.0179,0.0128,-0.0052,1.0,0.010384811213040628
2016-12-01,-0.0955752199999999,-0.0565,-0.0014,0.0033,-0.0095,1.0,-0.036343823099619796
2017-01-01,-0.04244173,0.007,-0.0334,0.0285,-0.0278,1.0,-0.009706400091830499
2017-02-01,0.06151506,0.0282,0.01,0.0034,0.0185,1.0,0.01147952926844658
2017-03-01,-0.03581898,-0.0084,-0.0101,0.0336,-0.0093,1.0,-0.013934204706459681
2017-04-01,-0.08083517,-0.0227,-0.0412,0.0469,-0.0192,1.0,-0.009309111946597504
2017-05-01,-0.09703763,-0.0191,-0.0579,0.0568,-0.0306,1.0,-0.008179513759513618
2017-06-01,0.06368608,0.0414,-0.0078,0.0266,0.0237,1.0,0.0185661777671279
2017-07-01,-0.03685059,0.0245,-0.0203,0.0448,0.0084,1.0,-0.04419151664009627
2017-08-01,0.09069619,0.0248,-0.0015,-0.0228,0.0182,1.0,0.05047382201607318
2017-09-01,0.02268329,0.0062,0.011,-0.0078,0.0006,1.0,-0.0009818219031161833
2017-10-01,-0.0091548,0.0135,-0.044,0.0382,0.0463,1.0,0.0030738031806098413
2017-11-01,-0.10984236,-0.0293,-0.0388,0.0378,-0.0048,1.0,-0.04007989405919679
2017-12-01,-0.04086113,-0.0012,-0.0178,0.0229,-0.0126,1.0,-0.020137539966195273
2018-01-01,-0.03259557,0.0366,-0.0676,0.0667,-0.0169,1.0,0.0037047287445258134
2018-02-01,-0.05447929,-0.0519,0.0003,0.0019,0.0127,1.0,-0.009464922433295254
2018-03-01,0.13658897,-0.0141,0.048,-0.0666,0.0269,1.0,0.0807301370163474
2018-04-01,-0.06647659,-0.0328,-0.0121,-0.0004,0.0046,1.0,-0.027688395395955682
2018-05-01,-0.0060675299999999,0.0027,-0.0177,0.0449,0.0203,1.0,0.003093788989954085
2018-06-01,-0.10527189,-0.0789,-0.0346,0.0371,-0.004,1.0,0.012407306120546219
2018-07-01,0.02105266,0.009,-0.009,0.0366,0.0408,1.0,0.007079038402968666
2018-08-01,-0.09814733,-0.0586,-0.0253,0.0071,0.0243,1.0,-0.025326147691148937
2018-09-01,0.01723702,0.0229,-0.0324,0.0309,-0.0082,1.0,0.026055636224541365
2018-10-01,-0.12593558,-0.0894,-0.0147,0.0255,0.018,1.0,-0.025200176587664755
2018-11-01,0.11190279,0.0086,0.0506,-0.0316,0.022,1.0,0.03748520218223421
2018-12-01,-0.05362283,-0.0416,-0.0025,0.0194,0.0244,1.0,-0.017784491209468366
2019-01-01,-0.05761373,0.0288,-0.0511,0.0635,0.0326,1.0,-0.04583187580077158
2019-02-01,0.32333679,0.1574,0.0569,-0.0955,-0.0722,1.0,0.10734616360094934
2019-03-01,0.12085622,0.0644,0.0466,-0.0281,0.0051,1.0,-0.002227646452679241
2019-04-01,-0.04059413,-0.0133,-0.0245,0.0306,0.026,1.0,-0.012695018697527982
2019-05-01,-0.08832128,-0.0636,0.0169,0.0035,0.0371,1.0,-0.054440524898089517
2019-06-01,-0.02253239,0.0315,-0.038,0.0398,0.0086,1.0,-0.021728172685605937
2019-07-01,-0.0337329599999999,-0.0017,-0.0308,0.0071,0.0118,1.0,-0.011447173285187733
2019-08-01,-0.02660824,-0.0077,-0.0074,-0.0363,-0.0334,1.0,-0.011930911424045485
2019-09-01,0.01504089,0.0061,0.0053,0.0113,0.0049,1.0,-0.0013612952213711057
2019-10-01,-0.03407957,0.0111,-0.0212,0.0135,0.0069,1.0,-0.031411652902877944
2019-11-01,0.01989328,-0.018,-0.0106,0.0183,-0.003,1.0,0.04754475575884176
2019-12-01,0.0742950199999999,0.0686,0.01,0.0021,-0.0041,1.0,-0.010809121800762073
2020-01-01,-0.04159864,-0.007,0.0081,-0.0306,-0.0527,1.0,-0.03450918271107607
2020-02-01,0.00128405,-0.0089,0.0112,-0.0372,-0.0638,1.0,0.010119752694839683
2020-03-01,-0.02696179,-0.0627,0.0239,0.0508,0.0763,1.0,-0.005640846329024816
2020-04-01,-0.02961485,0.0507,-0.0377,0.0038,-0.0057,1.0,-0.050699318481833164
2020-05-01,-0.04520091,0.003,0.0167,0.0012,0.0006,1.0,-0.06922996881930052
2020-06-01,0.05237279,0.0801,-0.017,0.0103,-0.0203,1.0,-0.012805100712091677
2020-07-01,0.09627862,0.126,0.001,0.0076,-0.0207,1.0,-0.03428289676532163
2020-08-01,0.07223512,0.0199,0.0214,0.017,0.0128,1.0,0.024645278822581655
2020-09-01,-0.06147606,-0.0579,-0.0214,0.011,-0.0108,1.0,0.019600238760175998
2020-10-01,-0.01771847,0.0086,-0.0178,0.0124,-0.0352,1.0,-0.001450779277227976
2020-11-01,0.03870813,0.0365,-0.018,0.0463,0.0199,1.0,0.012946260864693249
2020-12-01,-0.06101684,0.0299,-0.0799,-0.0472,-0.0276,1.0,-0.022402674804290548
2021-01-01,-0.11709056,0.0034,-0.0907,0.0336,-0.0217,1.0,-0.02849392257471127
2021-02-01,0.07499183,-0.0044,0.0455,0.0643,0.0167,1.0,0.03748300244434057
2021-03-01,0.02201924,-0.0293,0.0535,0.0487,0.0115,1.0,0.0023423225291963924
2021-04-01,0.01272422,0.0177,-0.0274,-0.0417,0.0293,1.0,-0.0030131995962479705
2021-05-01,0.0673631099999999,0.0505,0.0073,-0.0335,-0.014,1.0,0.000997800195241011
2021-06-01,0.10776805,0.0079,0.0224,-0.046,0.0139,1.0,0.06054912483075496
2021-07-01,-0.05523066,-0.041,0.0496,-0.0354,-0.0396,1.0,-0.056213167670980176
2021-08-01,0.01440249,0.0285,0.0392,0.068,-0.0044,1.0,-0.04406440890586007
2021-09-01,0.03731401,-0.0036,-0.017,0.0494,0.0503,1.0,0.043035511508360956
2021-10-01,-0.00833911,-0.0027,-0.0257,-0.0433,0.063,1.0,-0.015922117830891817
2021-11-01,0.06286299,0.0196,0.1149,-0.038,0.0485,1.0,-0.09302675506243661
2021-12-01,0.0728765,0.0101,0.0311,0.0507,0.0224,1.0,0.02918362543411382
2022-01-01,-0.11172428,-0.0917,-0.0061,0.0506,0.0031,1.0,-0.007127417071185013
2022-02-01,0.06256065,0.0254,0.0268,0.0233,0.0124,1.0,0.005393555150013836
2022-03-01,-0.06010272,-0.076,0.0293,0.0277,-0.0769,1.0,0.01829039337412533
2022-04-01,-0.16467696,-0.0812,-0.0848,0.0474,-0.0051,1.0,0.004249122502990116
2022-05-01,0.1715987,0.0526,0.0615,-0.0289,0.0729,1.0,0.023887426615852303
2022-06-01,0.12618489,0.0881,-0.0156,-0.0268,0.0392,1.0,0.024593149828224997
2022-07-01,0.06975437,-0.031,0.0688,-0.011,0.0098,1.0,0.027840231606763938
2022-08-01,0.00381359,-0.0254,-0.0135,0.0245,0.0608,1.0,0.02132858558717417
2022-09-01,-0.10748226,-0.0679,-0.0279,0.0226,0.023,1.0,-0.019316041682355012
2022-10-01,0.06746801,-0.0355,0.0681,-0.0506,0.0438,1.0,0.012489337878833169
2022-11-01,0.20879353,0.0787,-0.0039,0.0038,0.0181,1.0,0.11872156593540822
2022-12-01,-0.00607166,-0.0207,-0.0202,0.0046,-0.0086,1.0,0.03286696919838004
2023-01-01,0.12725212,0.0645,0.0106,0.0121,0.0516,1.0,0.028700398408762026
2023-02-01,0.01478539,0.0008,0.0358,0.0041,0.0149,1.0,-0.029040277098502792
2023-03-01,-0.05774784,-0.0043,-0.019,-0.0086,-0.0655,1.0,-0.020131466794566878
2023-04-01,-0.09954124,-0.0034,-0.0309,0.0341,-0.0536,1.0,-0.04843197729554848
2023-05-01,-0.05354881,-0.0344,0.0361,-0.0103,-0.0222,1.0,-0.0504837076294254
2023-06-01,0.05438284,0.0104,0.0197,0.0237,0.0005,1.0,0.023722859686424617
2023-07-01,0.09153175,0.0252,-0.0262,0.0397,0.0621,1.0,0.0697856936557155
2023-08-01,-0.07466113,-0.057,0.0084,0.003,0.0017,1.0,-0.02787395716272005
2023-09-01,0.0044023399999999,-0.0111,0.0134,0.0182,0.0067,1.0,-0.000834112132596025
2023-10-01,-0.02052363,-0.0275,0.0182,-0.0291,-0.0166,1.0,-0.01325924889347392
2023-11-01,0.0362646,0.0002,0.0408,-0.0151,0.0022,1.0,-0.010596743052449654
2023-12-01,-0.00704124,-0.0219,-0.0025,0.0267,0.0198,1.0,0.010893054814532656
2024-01-01,-0.18388927,-0.0978,-0.0975,0.1214,0.0081,1.0,0.02269774024993801
2024-02-01,0.08722701,0.0935,-0.0524,-0.0236,0.0574,1.0,0.008521741151006679
2024-03-01,0.05848629,0.0098,0.0391,0.0332,0.0091,1.0,0.009153253062992736
2024-04-01,-0.11449367,0.016,-0.0383,0.0601,0.0298,1.0,-0.10077350310539186
2024-05-01,-0.10220294,-0.0098,-0.0039,0.0328,-0.0253,1.0,-0.07930418927036151
2024-06-01,-0.18635151,-0.0421,-0.0545,0.0348,-0.0045,1.0,-0.08914534700711854
2024-07-01,0.10955876,-0.002,-0.0036,-0.0205,0.0277,1.0,0.09666972665330749
2024-08-01,0.03165391,-0.0368,-0.0024,0.0259,0.0134,1.0,0.06721833191425633
2024-09-01,0.33847881,0.2003,0.0234,-0.0751,0.0312,1.0,0.0768431823479298
2024-10-01,0.10805884,-0.0025,0.068,-0.1296,0.0219,1.0,0.012141628318588268
2024-11-01,0.0688156799999999,0.0104,0.0377,-0.0071,0.0279,1.0,0.006748179625210821
2024-12-01,-0.01985274,-0.0053,-0.0265,0.0745,0.0552,1.0,-0.0008124091184498056
2025-01-01,-0.02999587,-0.0273,0.0099,0.0359,-0.0103,1.0,-0.006064319376159585
2025-02-01,0.04712522,0.0333,0.0378,-0.0894,-0.0239,1.0,-0.03583838253105693
2025-03-01,-0.0051942299999999,-0.003,0.0115,0.0612,0.0419,1.0,-0.02168501735629934
2025-04-01,-0.0733818099999999,-0.0296,0.0006,-0.0047,0.016,1.0,-0.05439213325703347
2025-05-01,0.12378932,0.0204,0.0403,0.0122,-0.018,1.0,0.06774710357531122
2025-06-01,0.06138231,0.0391,0.0228,-0.0219,0.0203,1.0,-0.01703794306808277
2025-07-01,0.03320875,0.0444,-0.0005,0.0003,-0.0056,1.0,-0.01646314335727577
2025-08-01,0.06265152,0.0981,-0.0413,-0.054,0.0218,1.0,-0.024392410518238525
2025-09-01,-0.01452386,0.0166,-0.0226,0.0037,-0.0298,1.0,-0.005566296324755235
2025-10-01,0.01481762,0.0076,0.0071,0.0222,0.0228,1.0,-0.009029158998246228
2025-11-01,-0.0019844899999999,-0.0218,0.0217,0.0021,-0.0015,1.0,-0.003682929121972791
2025-12-01,0.02892735,0.0271,-0.0088,0.0011,0.0052,1.0,0.0016477554247261057
